dim time type
40 0.008166666666666666 cu-0
40 0.0049499999999999995 cu-1
40 0.005183333333333333 cu-2
40 0.0030666666666666668 cu-3
40 0.005066666666666666 cu-med
40 0.0053416666666666664 cu-avg
41 0.004433333333333333 cu-0
41 0.0032333333333333333 cu-1
41 0.004 cu-2
41 0.010733333333333334 cu-3
41 0.004216666666666666 cu-med
41 0.0056 cu-avg
42 0.0118 cu-0
42 0.008866666666666667 cu-1
42 0.009016666666666668 cu-2
42 0.02061666666666667 cu-3
42 0.010408333333333334 cu-med
42 0.012575 cu-avg
43 0.010683333333333333 cu-0
43 0.016933333333333335 cu-1
43 0.01445 cu-2
43 0.018500000000000003 cu-3
43 0.015691666666666666 cu-med
43 0.015141666666666666 cu-avg
44 0.012716666666666666 cu-0
44 0.045200000000000004 cu-1
44 0.0175 cu-2
44 0.00855 cu-3
44 0.015108333333333333 cu-med
44 0.02099166666666667 cu-avg
45 0.08738333333333334 cu-0
45 0.1009 cu-1
45 0.13804999999999998 cu-2
45 0.1686 cu-3
45 0.119475 cu-med
45 0.12373333333333333 cu-avg
46 0.0969 cu-0
46 0.06301666666666667 cu-1
46 0.03306666666666667 cu-2
46 0.15808333333333333 cu-3
46 0.07995833333333334 cu-med
46 0.08776666666666667 cu-avg
47 0.042416666666666665 cu-0
47 0.03785 cu-1
47 0.03853333333333333 cu-2
47 0.0876 cu-3
47 0.040475000000000004 cu-med
47 0.0516 cu-avg
48 0.6782333333333334 cu-0
48 0.42278333333333334 cu-1
48 0.6793833333333333 cu-2
48 0.9385833333333333 cu-3
48 0.6788083333333332 cu-med
48 0.6797458333333334 cu-avg
49 0.4502 cu-0
49 0.43201666666666666 cu-1
49 0.5274666666666666 cu-2
49 0.84585 cu-3
49 0.4888333333333333 cu-med
49 0.5638833333333333 cu-avg
50 0.2767666666666667 cu-0
50 1.00075 cu-1
50 0.5462666666666667 cu-2
50 0.6808 cu-3
50 0.6135333333333333 cu-med
50 0.6261458333333334 cu-avg
51 5.9115166666666665 cu-0
51 5.46535 cu-1
51 3.552633333333333 cu-2
51 3.4541166666666667 cu-3
51 4.508991666666666 cu-med
51 4.595904166666667 cu-avg
52 3.09925 cu-0
52 4.449816666666666 cu-1
52 4.480916666666667 cu-2
52 3.6270000000000002 cu-3
52 4.038408333333333 cu-med
52 3.914245833333333 cu-avg
53 6.994866666666667 cu-0
53 6.880716666666667 cu-1
53 5.615666666666667 cu-2
53 3.6206833333333335 cu-3
53 6.248191666666667 cu-med
53 5.777983333333333 cu-avg
54 16.58931666666667 cu-0
54 11.455266666666667 cu-1
54 172.49296666666666 cu-2
54 50.139916666666664 cu-3
54 33.36461666666666 cu-med
54 62.66936666666666 cu-avg
55 7.29105 cu-0
55 43.1223 cu-1
55 188.06581666666668 cu-2
55 20.471816666666665 cu-3
55 31.797058333333332 cu-med
55 64.73774583333334 cu-avg
56 12.16155 cu-0
56 19.841549999999998 cu-1
56 12.446533333333333 cu-2
56 18.20906666666667 cu-3
56 15.3278 cu-med
56 15.664674999999999 cu-avg
57 117.28268333333334 cu-0
57 121.43114999999999 cu-1
57 113.0608 cu-2
57 225.97111666666666 cu-3
57 119.35691666666666 cu-med
57 144.4364375 cu-avg
58 103.03091666666666 cu-0
58 308.34425 cu-1
58 87.37141666666666 cu-2
58 inf cu-3
58 205.68758333333332 cu-med
58 inf cu-avg
40.0 0.0027612704649662245 cu-fit
40.1 0.0029337533051429815 cu-fit
40.2 0.0031170102909649747 cu-fit
40.3 0.0033117144297543488 cu-fit
40.4 0.003518580768255298 cu-fit
40.5 0.003738369018627725 cu-fit
40.6 0.0039718863484737845 cu-fit
40.7 0.004219990345143457 cu-fit
40.8 0.00448359216520553 cu-fit
40.9 0.004763659880650551 cu-fit
41.0 0.00506122203411411 cu-fit
41.1 0.005377371416177578 cu-fit
41.2 0.005713269078617885 cu-fit
41.3 0.006070148598345064 cu-fit
41.4 0.006449320607686899 cu-fit
41.5 0.006852177607657717 cu-fit
41.6 0.007280199081888358 cu-fit
