dim time type
65 0.0015666666666666667 cu-0
65 0.0010833333333333333 cu-1
65 0.0005333333333333334 cu-2
65 0.0019500000000000001 cu-3
65 0.001325 cu-med
65 0.0012833333333333334 cu-avg
66 0.0035833333333333333 cu-0
66 0.0015833333333333333 cu-1
66 0.0016833333333333333 cu-2
66 0.014283333333333334 cu-3
66 0.0026333333333333334 cu-med
66 0.0052833333333333335 cu-avg
67 0.0031666666666666666 cu-0
67 0.0012166666666666667 cu-1
67 0.0021666666666666666 cu-2
67 0.011616666666666666 cu-3
67 0.0026666666666666666 cu-med
67 0.004541666666666667 cu-avg
68 0.0017 cu-0
68 0.0035 cu-1
68 0.0019500000000000001 cu-2
68 0.004533333333333334 cu-3
68 0.002725 cu-med
68 0.002920833333333333 cu-avg
69 0.1189 cu-0
69 0.09095 cu-1
69 0.14798333333333333 cu-2
69 0.13633333333333333 cu-3
69 0.12761666666666666 cu-med
69 0.12354166666666666 cu-avg
70 0.09623333333333334 cu-0
70 0.29405000000000003 cu-1
70 0.12631666666666666 cu-2
70 0.031599999999999996 cu-3
70 0.111275 cu-med
70 0.13705 cu-avg
71 0.10621666666666667 cu-0
71 0.25611666666666666 cu-1
71 0.4337666666666667 cu-2
71 0.06676666666666667 cu-3
71 0.18116666666666664 cu-med
71 0.21571666666666667 cu-avg
65.0 0.0008677075456089638 cu-fit
65.1 0.0009501269322378154 cu-fit
65.2 0.001040374941916762 cu-fit
65.3 0.0011391951780789684 cu-fit
65.4 0.0012474018754886763 cu-fit
65.5 0.0013658866091731247 cu-fit
65.6 0.001495625640604048 cu-fit
65.7 0.001637687961657714 cu-fit
65.8 0.001793244102632109 cu-fit
65.9 0.001963575776895748 cu-fit
66.0 0.0021500864416352603 cu-fit
66.1 0.002354312861718119 cu-fit
66.2 0.002577937771951066 cu-fit
66.3 0.002822803742065964 cu-fit
66.4 0.0030909283586745048 cu-fit
66.5 0.0033845208492836645 cu-fit
66.6 0.003706000285347287 cu-fit
66.7 0.0040580155143382455 cu-fit
66.8 0.0044434669850724594 cu-fit
66.9 0.00486553064611653 cu-fit
67.0 0.005327684114190119 cu-fit
67.1 0.0058337353281803055 cu-fit
67.2 0.006387853924862929 cu-fit
67.3 0.006994605594853783 cu-fit
67.4 0.007658989701867734 cu-fit
67.5 0.008386480475249985 cu-fit
67.6 0.009183072115189973 cu-fit
67.7 0.010055328182263144 cu-fit
67.8 0.0110104356782483 cu-fit
67.9 0.012056264263824246 cu-fit
68.0 0.01320143110107051 cu-fit
68.1 0.01445537185504858 cu-fit
68.2 0.015828418439481736 cu-fit
68.3 0.017331884147125585 cu-fit
68.4 0.018978156866266506 cu-fit
68.5 0.020780801151405303 cu-fit
68.6 0.022754669989151717 cu-fit
68.7 0.024916027180222462 cu-fit
68.8 0.027282681345918953 cu-fit
68.9 0.029874132663244218 cu-fit
69.0 0.03271173353767885 cu-fit
69.1 0.03581886453750209 cu-fit
69.2 0.039221127039266404 cu-fit
69.3 0.04294655417174565 cu-fit
69.4 0.04702584179644269 cu-fit
69.5 0.051492601427820715 cu-fit
69.6 0.05638363717722917 cu-fit
69.7 0.06173924900239857 cu-fit
69.8 0.06760356476115169 cu-fit
69.9 0.07402490380532067 cu-fit
70.0 0.08105617511069231 cu-fit
70.1 0.08875531322342538 cu-fit
70.2 0.09718575561492689 cu-fit
70.3 0.10641696537837654 cu-fit
70.4 0.11652500357370597 cu-fit
70.5 0.12759315593687287 cu-fit
70.6 0.1397126191172652 cu-fit
70.7 0.15298325209750044 cu-fit
70.8 0.1675143989869931 cu-fit
70.9 0.18342578996875705 cu-fit
65 0.002766666666666667 mt-0
65 0.0025166666666666666 mt-1
65 0.0014666666666666667 mt-2
65 0.00385 mt-3
65 0.0026416666666666667 mt-med
65 0.00265 mt-avg
66 0.003 mt-0
66 0.0047666666666666664 mt-1
66 0.002533333333333333 mt-2
66 0.009066666666666667 mt-3
66 0.0038833333333333337 mt-med
66 0.004841666666666666 mt-avg
67 0.0036166666666666665 mt-0
67 0.0049833333333333335 mt-1
67 0.005516666666666667 mt-2
67 0.0101 mt-3
67 0.00525 mt-med
67 0.006054166666666667 mt-avg
68 0.012266666666666667 mt-0
68 0.013266666666666668 mt-1
68 0.00515 mt-2
68 0.010183333333333332 mt-3
68 0.011225 mt-med
68 0.010216666666666667 mt-avg
69 0.22273333333333334 mt-0
69 0.24041666666666667 mt-1
69 0.10293333333333334 mt-2
69 0.19435 mt-3
69 0.20854166666666665 mt-med
69 0.19010833333333332 mt-avg
70 0.23323333333333332 mt-0
70 0.6394166666666667 mt-1
70 0.19653333333333334 mt-2
70 0.06570000000000001 mt-3
70 0.21488333333333334 mt-med
70 0.28372083333333337 mt-avg
71 0.24621666666666667 mt-0
71 0.3843666666666667 mt-1
71 1.36175 mt-2
71 0.17296666666666666 mt-3
71 0.3152916666666667 mt-med
71 0.5413250000000001 mt-avg
65.0 0.0015511071773949953 mt-fit
65.1 0.001704342621212181 mt-fit
65.2 0.001872716349207335 mt-fit
65.3 0.002057723887755644 mt-fit
65.4 0.0022610085077927125 mt-fit
65.5 0.002484375820648503 mt-fit
65.6 0.0027298098158190275 mt-fit
65.7 0.002999490483125412 mt-fit
65.8 0.0032958131757835907 mt-fit
65.9 0.003621409886371951 mt-fit
66.0 0.003979172624672295 mt-fit
66.1 0.004372279105032248 mt-fit
66.2 0.004804220971407686 mt-fit
66.3 0.005278834810785219 mt-fit
66.4 0.005800336230452983 mt-fit
66.5 0.006373357301798349 mt-fit
66.6 0.0070029877032170085 mt-fit
66.7 0.007694819927571139 mt-fit
66.8 0.008454998955737949 mt-fit
66.9 0.009290276837458767 mt-fit
67.0 0.010208072664284468 mt-fit
67.1 0.011216538467309614 mt-fit
67.2 0.012324631625009687 mt-fit
67.3 0.013542194424321493 mt-fit
67.4 0.01488004148164409 mt-fit
67.5 0.01635005580024655 mt-fit
67.6 0.017965294317287158 mt-fit
67.7 0.01974010387792595 mt-fit
67.8 0.0216902486666384 mt-fit
67.9 0.02383305022759823 mt-fit
68.0 0.026187541317812094 mt-fit
68.1 0.02877463495956476 mt-fit
68.2 0.031617310193723595 mt-fit
68.3 0.03474081618379838 mt-fit
68.4 0.038172896483650146 mt-fit
68.5 0.04194403546083095 mt-fit
68.6 0.04608772906433748 mt-fit
68.7 0.05064078234177848 mt-fit
68.8 0.05564363634856851 mt-fit
68.9 0.06114072735281296 mt-fit
69.0 0.0671808815263935 mt-fit
69.1 0.07381774862800472 mt-fit
69.2 0.0811102785301587 mt-fit
69.3 0.08912324482277766 mt-fit
69.4 0.09792782014411884 mt-fit
69.5 0.10760220834921647 mt-fit
69.6 0.11823233913089098 mt-fit
69.7 0.12991263126305347 mt-fit
69.8 0.14274683124560011 mt-fit
69.9 0.15684893479988687 mt-fit
70.0 0.17234419939964002 mt-fit
70.1 0.1893702568308694 mt-fit
70.2 0.20807833566265863 mt-fit
70.3 0.2286346044870706 mt-fit
70.4 0.251221647859138 mt-fit
70.5 0.2760400880463822 mt-fit
70.6 0.3033103669926497 mt-fit
70.7 0.33327470432395717 mt-fit
70.8 0.36619924878767096 mt-fit
70.9 0.4023764422345771 mt-fit
